date,nav_pre,nav,ret,turnover,fee_cost,slippage_cost,total_cost,gross_trade_notional,weights,n_positions,top_asset,top_weight
2004-01-09 00:00:00,1012737.3496104624,1012737.3496104624,0.009724668568969363,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5983814049396831, 'SHY': 0.1480694846284535, 'TLT': 0.2535491104318634}",3,AGG,0.5983814049396831
2004-01-12 00:00:00,1010918.8224311024,1010918.8224311024,-0.0017956552901495781,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5977734374688606, 'SHY': 0.148425672358082, 'TLT': 0.2538008901730574}",3,AGG,0.5977734374688606
2004-01-13 00:00:00,1014252.3547765466,1014252.3547765466,0.003297527231145514,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5971985109246114, 'SHY': 0.14811675201136637, 'TLT': 0.2546847370640223}",3,AGG,0.5971985109246114
2004-01-14 00:00:00,1015318.057067478,1015318.057067478,0.001050726957559034,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5965137596329829, 'SHY': 0.14781828131123137, 'TLT': 0.2556679590557856}",3,AGG,0.5965137596329829
2004-01-15 00:00:00,1017037.4423684729,1017037.4423684729,0.0016934450136354418,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5962556121552469, 'SHY': 0.1475505124555525, 'TLT': 0.2561938753892006}",3,AGG,0.5962556121552469
2004-01-16 00:00:00,1014628.1508845463,1014628.1508845463,-0.0023689309592337393,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5972087442093384, 'SHY': 0.14779355105619418, 'TLT': 0.25499770473446726}",3,AGG,0.5972087442093384
2004-01-20 00:00:00,1014113.429037985,1014113.429037985,-0.0005073009714077203,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5969909761511091, 'SHY': 0.1479400944782638, 'TLT': 0.25506892937062703}",3,AGG,0.5969909761511091
2004-01-21 00:00:00,1015234.6691746638,1015234.6691746638,0.0011056358239358577,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5967356684274069, 'SHY': 0.14786605946028616, 'TLT': 0.2553982721123069}",3,AGG,0.5967356684274069
2004-01-22 00:00:00,1018291.3039552427,1018291.3039552427,0.003010766745252802,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5959831368053342, 'SHY': 0.14752926193699983, 'TLT': 0.2564876012576659}",3,AGG,0.5959831368053342
2004-01-23 00:00:00,1013475.1501955078,1013475.1501955078,-0.004729642432404257,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.597366956469081, 'SHY': 0.1480154166438533, 'TLT': 0.2546176268870658}",3,AGG,0.597366956469081
2004-01-26 00:00:00,1009452.2169444426,1009452.2169444426,-0.003969444391694443,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5974207617896813, 'SHY': 0.14849752302742297, 'TLT': 0.2540817151828957}",3,AGG,0.5974207617896813
2004-01-27 00:00:00,1012108.4469263754,1012108.4469263754,0.002631357816988089,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5967223932196156, 'SHY': 0.14828704437331003, 'TLT': 0.25499056240707446}",3,AGG,0.5967223932196156
2004-01-28 00:00:00,1008220.6004131833,1008220.6004131833,-0.0038413339252318934,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5978007409949823, 'SHY': 0.14848090809338665, 'TLT': 0.253718350911631}",3,AGG,0.5978007409949823
